dataset,n,dot_condition_number,raw_f32_normalized_error,accessor_f32_f32_normalized_error,raw_f64_normalized_error,accessor_f64_f32_normalized_error,raw_fp64_error_improvement,accessor_fp64_error_improvement,fp32_raw_accessor_bit_identical,fp64_raw_accessor_bit_identical,all_results_finite
cancellation_1e2,1024,126.999999953524947562,4.3023196754754204e-08,4.3023196754754204e-08,9.740042072131671e-17,9.740042072131671e-17,441714691.12903225,441714691.12903225,True,True,True
cancellation_1e2,65536,127.00000092393903714,3.5442982464393375e-09,3.5442982464393375e-09,3.90275429657512e-17,3.90275429657512e-17,90815305.73291925,90815305.73291925,True,True,True
cancellation_1e2,1048576,127.000000371664785448,8.234417394465703e-10,8.234417394465703e-10,1.815957285107397e-18,1.815957285107397e-18,453447746.9264214,453447746.9264214,True,True,True
cancellation_1e4,1024,16383.3156448269113268,2.050892955727134e-08,2.050892955727134e-08,2.4940742860980106e-17,2.4940742860980106e-17,822306283.0000001,822306283.0000001,True,True,True
cancellation_1e4,65536,16383.0217448631644581,6.70046859339007e-10,6.70046859339007e-10,1.6355902256521096e-17,1.6355902256521096e-17,40966670.55294118,40966670.55294118,True,True,True
cancellation_1e4,1048576,16383.0077020643174537,5.343507747183643e-10,5.343507747183643e-10,3.4350222581904316e-19,3.4350222581904316e-19,1555596251.0701752,1555596251.0701752,True,True,True
cancellation_1e6,1024,1049206.16304733776747,4.2638998539679116e-08,4.2638998539679116e-08,9.975697759111369e-17,9.975697759111369e-17,427428733.0,427428733.0,True,True,True
cancellation_1e6,65536,1048583.050550506734,1.4879579795551998e-08,1.4879579795551998e-08,7.600227329561828e-18,7.600227329561828e-18,1957780886.0632913,1957780886.0632913,True,True,True
cancellation_1e6,1048576,1048553.999388845206,4.2905974271996574e-10,4.2905974271996574e-10,7.231191319852693e-19,7.231191319852693e-19,593345859.2666667,593345859.2666667,True,True,True
dynamic_range_40,1024,1.89587511858345672002,8.2863791734029e-09,8.2863791734029e-09,2.2468557308335214e-17,2.2468557308335214e-17,368798897.9305263,368798897.9305263,True,True,True
dynamic_range_40,65536,12.4149590301736671601,2.0657113311082366e-09,2.0657113311082366e-09,1.8555135616164897e-17,1.8555135616164897e-17,111328279.88110346,111328279.88110346,True,True,True
dynamic_range_40,1048576,39.3709469663068362018,3.9281770284593085e-09,3.9281770284593085e-09,1.4249269057033604e-18,1.4249269057033604e-18,2756756864.3251314,2756756864.3251314,True,True,True
near_orthogonal,1024,8323464.62705151736964,4.052744691952636e-08,4.052744691952636e-08,7.481767087327153e-17,7.481767087327153e-17,541682819.6666667,541682819.6666667,True,True,True
near_orthogonal,65536,8379886.41582158902702,2.677684158931307e-08,2.677684158931307e-08,2.270445763633947e-17,2.270445763633947e-17,1179364951.9491525,1179364951.9491525,True,True,True
near_orthogonal,1048576,8387934.85236405263277,7.854772081652386e-10,7.854772081652386e-10,4.760530313024393e-18,4.760530313024393e-18,164997837.7443038,164997837.7443038,True,True,True
positive_uniform,1024,1,1.0142256244292336e-07,1.0142256244292336e-07,5.5324691020757943e-17,5.5324691020757943e-17,1833224200.1111112,1833224200.1111112,True,True,True
positive_uniform,65536,1,1.6902372826806023e-08,1.6902372826806023e-08,7.241560037708559e-17,7.241560037708559e-17,233407894.69107857,233407894.69107857,True,True,True
positive_uniform,1048576,1,4.400959243245488e-08,4.400959243245488e-08,2.5549289615750172e-17,2.5549289615750172e-17,1722536833.4830189,1722536833.4830189,True,True,True
signed_uniform_seed0,1024,74.8996988112260061732,6.523347272125515e-10,6.523347272125515e-10,0.0,0.0,inf,inf,True,True,True
signed_uniform_seed0,65536,97.5084689530631918905,1.6336348158605982e-09,1.6336348158605982e-09,0.0,0.0,inf,inf,True,True,True
signed_uniform_seed0,1048576,824.835437821232704325,1.9990316908032153e-10,1.9990316908032153e-10,0.0,0.0,inf,inf,True,True,True
signed_uniform_seed1,1024,30.3524700624066591306,6.139523091715279e-09,6.139523091715279e-09,0.0,0.0,inf,inf,True,True,True
signed_uniform_seed1,65536,129.86599890540730648,6.005871917798262e-10,6.005871917798262e-10,0.0,0.0,inf,inf,True,True,True
signed_uniform_seed1,1048576,955.46283687188110928,3.6129318234751754e-10,3.6129318234751754e-10,0.0,0.0,inf,inf,True,True,True
signed_uniform_seed2,1024,11.9689251797279345192,5.479800361017018e-09,5.479800361017018e-09,0.0,0.0,inf,inf,True,True,True
signed_uniform_seed2,65536,90.6372819106783282894,8.786179676763152e-10,8.786179676763152e-10,0.0,0.0,inf,inf,True,True,True
signed_uniform_seed2,1048576,2825.86062887798282128,1.5081481825554465e-10,1.5081481825554465e-10,0.0,0.0,inf,inf,True,True,True
