gpu,dataset,variant,storage_type,arithmetic_type,access_kind,n,rounds,samples,min_ms,median_ms,p10_ms,p90_ms,mean_ms,coefficient_of_variation,giga_elements_per_s,algorithmic_gb_per_s,gflop_per_s,speedup_vs_raw_f32,accessor_overhead_percent,fp64_arithmetic_cost_percent
NVIDIA H200 NVL,signed_uniform_seed0,raw_f32,float32,float32,raw,1024,3,60,0.00440575254537121,0.004406209956994556,0.004406011954843802,0.004406390708767433,0.004406215681974192,4.27251039239185e-05,0.23239927511272365,1.8591942009017892,0.4647985502254473,1.0,,
NVIDIA H200 NVL,signed_uniform_seed0,raw_f64,float32,float64,raw,1024,3,60,0.00440696059473303,0.004407372574264518,0.004407133548404268,0.0044076507090307655,0.004407392436406632,4.451399787938662e-05,0.23233797069467862,1.858703765557429,0.46467594138935725,0.9997362108035179,,0.02638587995829056
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1024,3,60,0.004405849820366425,0.004406204743031834,0.004405985248852305,0.004406375423321746,0.004406212421801335,5.3703176861945124e-05,0.2323995501160945,1.859196400928756,0.464799100232189,1.0000011833228426,-0.00011833214423884186,
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1024,3,60,0.004407091909293529,0.0044074222875982744,0.004407204242750768,0.004407582908974525,0.004407402703358849,3.234705218526356e-05,0.2323353500483399,1.8586828003867193,0.4646707000966798,0.9997249343211042,0.0011279585040435691,0.027632500926455528
NVIDIA H200 NVL,signed_uniform_seed0,raw_f32,float32,float32,raw,65536,3,60,0.004658703998616871,0.004659845482254969,0.004659236238218928,0.004660664059240111,0.004659874502582702,0.0001205320478131129,14.063985651362445,112.51188521089956,28.12797130272489,1.0,,
NVIDIA H200 NVL,signed_uniform_seed0,raw_f64,float32,float64,raw,65536,3,60,0.00483489114463558,0.004838619131919318,0.0048359184953397204,0.004841071073432117,0.004838407658918702,0.00037622627977693064,13.544360118710989,108.35488094968791,27.088720237421978,0.9630527543519558,,3.8364716243302954
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,65536,3,60,0.004658897631332845,0.004659936139087098,0.004659221829334172,0.004660507147464438,0.004659906315149477,0.00010174531195311657,14.063712043238171,112.50969634590537,28.127424086476342,0.9999805454775724,0.0019454900913373763,
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,65536,3,60,0.004834721298029703,0.004838930682200858,0.004835780187359708,0.004840995853354068,0.004838646077504606,0.0003572458837736842,13.543488077037859,108.34790461630287,27.086976154075717,0.9629907490502763,0.006438826306554013,3.8411372553450063
NVIDIA H200 NVL,signed_uniform_seed0,raw_f32,float32,float32,raw,1048576,3,60,0.008460918736658348,0.00847565225416508,0.008465480002345056,0.008486186314019916,0.008476015584130006,0.0010002958725412328,123.7162602423562,989.7300819388496,247.4325204847124,1.0,,
NVIDIA H200 NVL,signed_uniform_seed0,raw_f64,float32,float64,raw,1048576,3,60,0.008849742265001617,0.008853576294893022,0.008851489193973702,0.00885662797043903,0.00885390290658005,0.00022161867802469027,118.4353040030667,947.4824320245336,236.8706080061334,0.9573139680350483,,4.458937547163089
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,1048576,3,60,0.008458922231627752,0.008471200688359718,0.00846462449939385,0.008486416397927491,0.008474134070980691,0.001035038623508833,123.78127240461306,990.2501792369045,247.56254480922613,1.00052549407919,-0.05252180801983419,
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,1048576,3,60,0.00884983104199406,0.008853935519693351,0.008851952088455795,0.008856431858234254,0.008854090543419506,0.00020610481212970084,118.43049880674042,947.4439904539233,236.86099761348083,0.9572751275761072,0.004057397692913689,4.518070642093863
NVIDIA H200 NVL,signed_uniform_seed0,raw_f32,float32,float32,raw,8388608,3,60,0.028087249684389637,0.028112721945697864,0.02809825133383972,0.02812774756474015,0.02811311342863251,0.00040124494153688983,298.3918816613815,2387.135053291052,596.783763322763,1.0,,
NVIDIA H200 NVL,signed_uniform_seed0,raw_f64,float32,float64,raw,8388608,3,60,0.028600699425856458,0.02861572007454123,0.028607925094551078,0.02861757334082658,0.02861451179032565,0.00014167544632338148,293.14684299917917,2345.1747439934334,586.2936859983583,0.9824223144644585,,1.789218880387855
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,8388608,3,60,0.02809249320531,0.02811209143024601,0.028100263691383954,0.028125983286121665,0.028112960442379,0.00034583066372818254,298.39857417988594,2387.1885934390875,596.7971483597719,1.000022428621272,-0.002242811824026969,
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,8388608,3,60,0.028606567198081398,0.028616193997657906,0.028608672439907713,0.028617383896871573,0.02861503965918146,0.00014593296259096317,293.1419880885126,2345.135904708101,586.2839761770252,0.9824060442139423,0.0016561635193479418,1.7931877059475188
NVIDIA H200 NVL,signed_uniform_seed0,raw_f32,float32,float32,raw,67108864,3,60,0.1590085183420489,0.15910106166716545,0.1590472904328377,0.1591671703707787,0.15910544159591838,0.000284978524352439,421.8002274578764,3374.4018196630113,843.6004549157528,1.0,,
NVIDIA H200 NVL,signed_uniform_seed0,raw_f64,float32,float64,raw,67108864,3,60,0.1601854713217726,0.1603307693135777,0.1602754845974129,0.16039341182770467,0.16033151044300328,0.00029986228591174374,418.5650969387374,3348.520775509899,837.1301938774748,0.9923301830853991,,0.772909767871166
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,67108864,3,60,0.1590152074420263,0.15910841926695807,0.15905557783823165,0.1591462889171782,0.1591058196214141,0.00024754542365048254,421.78072228473485,3374.245778277879,843.5614445694697,0.9999537573195276,0.004624481895665333,
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,67108864,3,60,0.16021292026226336,0.16033036280901003,0.16027462421319422,0.16037700604169797,0.16033057290264682,0.00024842706212690536,418.5661581764269,3348.529265411415,837.1323163528538,0.9923326990577015,-0.0002535412069737397,0.7679942693678221
NVIDIA H200 NVL,signed_uniform_seed0,raw_f32,float32,float32,raw,134217728,3,60,0.30632494702751256,0.30656010427592717,0.3064543618096246,0.3066558743700569,0.3065549387362759,0.00027502113883190395,437.81864022069203,3502.5491217655363,875.6372804413841,1.0,,
NVIDIA H200 NVL,signed_uniform_seed0,raw_f64,float32,float64,raw,134217728,3,60,0.30856217278374565,0.30878834665557486,0.3086700933950919,0.30887737745120203,0.3087778731138127,0.0002903093356991183,434.65930451613707,3477.2744361290966,869.3186090322741,0.9927839168680381,,0.7268533473755889
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f32_f32,float32,float32,accessor,134217728,3,60,0.3063882230980996,0.3065012949376018,0.3064269972725148,0.3066018063597884,0.30650896996808197,0.000226079535137141,437.90264581859054,3503.2211665487243,875.8052916371811,1.0001918730501198,-0.019183624191498883,
NVIDIA H200 NVL,signed_uniform_seed0,accessor_f64_f32,float32,float64,accessor,134217728,3,60,0.3085396334251262,0.3087631249279709,0.3086399291613087,0.30886116975582906,0.30876218033626707,0.00028301224114739564,434.69481024105664,3477.558481928453,869.3896204821133,0.9928650137461924,-0.008167966141570115,0.7379512020755374
